Sweta O O
Makwana O O
Mumbai U-Location U-Location
, O O
Maharashtra O O
- O O
Email O O
me O O
on O O
Indeed O O
: O O
indeed.com O O
/ O O
r O O
/ O O
Sweta- O O
Makwana/2700509446d1b245 O O
Seeking O O
an O O
opportunity O O
to O O
utilize O O
my O O
skills O O
and O O
abilities O O
in O O
organization O O
that O O
offers O O
professional O O
growth O O
and O O
provide O O
scope O O
to O O
update O O
skills O O
in O O
accordance O O
with O O
latest O O
technology O O
& O O
innovative O O
business O O
practices O O
"
" O O
WORK O O
EXPERIENCE O O
Sales O O
Manager O O
EXPERIENCE O O
1 O O
) O O
EMPLOYER O O
call O O
2 O O
connect O O
DESIGNATION O O
: O O
TELE O O
CALLER O O
* O O
Job O O
Profile O O
: O O
● O O
Selling O O
the O O
LOOP O O
Postpaid O O
connections O O
to O O
the O O
potential O O
customers O O
and O O
handling O O
the O O
corporate O O
clients O O
"
" O O
● O O
Achieving O O
the O O
monthly O O
based O O
targets O O
set O O
by O O
the O O
company O O
"
" O O
2 O O
) O O
EMPLOYER O O
: O O
FINE O O
SUPPORT O O
SERVICES O O
( O O
HDFC O O
BANK O O
credit O O
card O O
Department O O
) O O
DESIGNATION O O
: O O
TELE O O
CALLING O O
EXECUTIVE O O
* O O
Job O O
Profile O O
: O O
● O O
Selling O O
the O O
HDFC O O
credit O O
card O O
to O O
HDFC O O
customers O O
and O O
handling O O
Customers O O
problems O O
● O O
Achieving O O
the O O
monthly O O
based O O
targets O O
set O O
by O O
the O O
company O O
"
" O O
3 O O
) O O
EMPLOYER O O
SERVIZ4U O O
NETWORK O O
PVT O O
LTD O O
Serviz4u O O
networks O O
( O O
I O O
) O O
pvt O O
ltd O O
is O O
one O O
of O O
the O O
leading O O
Vendor O O
's O O
for O O
hardware O O
in O O
india O O
, O O
we O O
are O O
Re O O
- O O
seller O O
of O O
Branded O O
as O O
well O O
as O O
assemble O O
servers O O
, O O
branded O O
laptops O O
Branded O O
desktop O O
as O O
well O O
as O O
assembled O O
machines O O
, O O
printer O O
, O O
Storage O O
disk O O
, O O
mouse O O
etc O O
"
" O O
DESIGNATION O O
: O O
Call O O
cordinator O O
https://www.indeed.com/r/Sweta-Makwana/2700509446d1b245?isid=rex-download&ikw=download-top&co=IN O O
https://www.indeed.com/r/Sweta-Makwana/2700509446d1b245?isid=rex-download&ikw=download-top&co=IN O O
ADDITIONAL O O
INFORMATION O O
Technical O B-Skills
Proficiency O I-Skills
Basic O I-Skills
Knowledge O I-Skills
of O I-Skills
Computer O I-Skills
"
" O I-Skills
Micro O I-Skills
soft O I-Skills
excel O I-Skills
Tally O L-Skills

Dushyant O O
Bhatt O O
BI O O
/ O O
Big O O
Data/ O O
Azure O O
Hyderabad U-Location U-Location
- O O
Deccan O O
, O O
Telangana O O
, O O
Telangana O O
- O O
Email O O
me O O
on O O
Indeed O B-Location
: O I-Location
indeed.com O I-Location
/ O I-Location
r O I-Location
/ O I-Location
Dushyant- O I-Location
Bhatt/140749dace5dc26f O L-Location
• O O
10 O O
+ O O
years O O
of O O
Experience O O
in O O
Designing O O
, O O
Development O O
, O O
Administration O O
, O O
Analysis O O
, O O
Management O O
in O O
the O O
Business O O
Intelligence O O
Data O O
warehousing O O
, O O
Client O O
Server O O
Technologies O O
, O O
Web O O
- O O
based O O
Applications O O
, O O
cloud O O
solutions O O
and O O
Databases O O
"
" O O
• O O
Data O O
warehouse O O
: O O
Data O O
analysis O O
, O O
star/ O O
snow O O
flake O O
schema O O
data O O
modeling O O
and O O
design O O
specific O O
to O O
data O O
warehousing O O
and O O
business O O
intelligence O O
environment O O
"
" O O
• O O
Database O O
: O O
Experience O O
in O O
database O O
designing O O
, O O
scalability O O
, O O
back O O
- O O
up O O
and O O
recovery O O
, O O
writing O O
and O O
optimizing O O
SQL O O
code O O
and O O
Stored O O
Procedures O O
, O O
creating O O
functions O O
, O O
views O O
, O O
triggers O O
and O O
indexes O O
"
" O O
• O O
Cloud O O
platform O O
: O O
Worked O O
on O O
Microsoft O O
Azure O O
cloud O O
services O O
like O O
Document O O
DB O O
, O O
SQL O O
